OPEN 6.3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Aug 15 2017 17:40:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-2327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.879999995,-0.25999999,-2970.550049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LCF-2327 with leaf prompts.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,Species,species number,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""17:40:09 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:41:07 LCF Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:41:07 CO2 Mixer -> OFF""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:41:08 Coolers: Tblock -> 20.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""17:41:08 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17:41:09,wheat,1,116.5001312,0,-3.258187912,-0.001812589,-2851.42293,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-1.042889604,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.016583978,0.905298395,21.35700607,2,4.644859791,1,9.289719582,20.76655769,21.35700607,20.10116959,1.130548,3.306092739,16.29669571,16.28580284,67.12285614,67.07632446,299.5335083,2.488871574,8.741605759,101.0648041,3.083570004,-0.262484014,0,0,0,0,0.25,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497667542,-1.6584E-05,294.5070061,293.9165577,0.398219443,-0.020465802,2.551219868,25.24340587,8.957603024,21.06178188,2.505424018,-0.001812942,1.645921473,0.859502545,-0.001133057,-288.1784998,-862.4751801,63.7555507,3.779578902,-0.549605049,0,2.16531827,0,#DIV/0!,#DIV/0!
2,17:41:10,wheat,1,117.5001311,0,-4.309139113,-0.001667833,-4099.294252,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-1.484917652,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.015239905,0.904149223,21.35213661,2,4.644859791,1,9.289719582,20.76697159,21.35213661,20.10009766,1.141239643,4.018994808,16.29963303,16.28962135,67.080513,67.03669739,299.4834595,2.56149435,8.770830154,101.0649261,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497417297,-1.52399E-05,294.5021366,293.9169716,0.409839087,-0.020425782,2.550458602,25.23584293,8.946221572,21.0595541,2.505081194,-0.001668132,1.646309379,0.858771815,-0.001042556,-414.2948709,-1019.979982,63.79138782,4.645207231,-0.591762543,0,2.228500085,0,#DIV/0!,#DIV/0!
3,17:41:11,wheat,1,118.500131,0,-19.40891397,-0.001935598,-15910.63623,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-8.373355764,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.017680191,0.903794623,21.35012817,2,4.644859791,1,9.289719582,20.76718903,21.35012817,20.0985775,1.151311517,14.11415195,16.30165672,16.29004097,67.06254578,67.0174408,299.4584961,2.527024031,8.799480438,101.0648193,3.083570004,-0.262484014,0,0,0,0,0.5,-1.355140209,7.355140209,1,0,0.159999996,111105,1.49729248,-1.76802E-05,294.5001282,293.917189,0.404323836,-0.019941572,2.550144671,25.23276336,8.942722393,21.0586586,2.504943401,-0.001936002,1.646350048,0.858593354,-0.001209965,-1608.005576,-1127.282481,63.80013843,16.93469284,-0.731215742,0,2.198510907,0,#DIV/0!,#DIV/0!
4,17:41:12,wheat,1,119.500131,0,-35.35475312,-0.002176757,-25769.07406,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,0,0.87,-15.52470909,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,-0.019879436,0.903610734,21.34880447,2,4.644859791,1,9.289719582,20.76727104,21.34880447,20.09660912,1.155733228,24.76666069,16.30287552,16.2898159,67.05186462,67.00376892,299.4820557,2.543572426,8.828578949,101.0648041,3.083570004,-0.262484014,0,0,0,0,0.25,-1.355140209,7.355140209,1,0,0.159999996,111105,1.497410278,-1.98794E-05,294.4988045,293.917271,0.406971579,-0.019501292,2.549937787,25.23072013,8.940904229,21.05803776,2.504847875,-0.002177267,1.646327053,0.858520822,-0.001360746,-2604.346421,-1040.474304,63.80366945,29.90448173,-0.754322714,0,2.21290801,0,#DIV/0!,#DIV/0!
